Name,Value
staging,webapp-staging-main.pub-aws.trendkite.com
app2,webapp-prod-main.pub-aws.trendkite.com
es,internal-es-elb-1712252219.us-east-1.elb.amazonaws.com
7ccc25a175f61d5c614420d44205b5be,501d1b2e874e755ae1ee461d7b7dda22a76ad33a.comodoca.com
salt-master,salt-master.aws.trendkite.com
361188g38.secure0024.hubspot.net,361188.group38.sites.hubspot.net
mail,mandrillapp.com
dev-g3,internal-grails3-dev-lb-1489022817.us-east-1.elb.amazonaws.com
2023821,sendgrid.net
prod-grails,delete-me.com
jenkins,internal-main-jenkins-1092948652.us-east-1.elb.amazonaws.com
josh,ec2-52-70-98-99.compute-1.amazonaws.com
beta,webapp-prod-main.pub-aws.trendkite.com
api,webapp-prod-main.pub-aws.trendkite.com
publishers,internal-service-publishers-elb-1324891370.us-east-1.elb.amazonaws.com
www,361188.group38.sites.hubspot.net
esf,internal-es-elb-fast-1155003071.us-east-1.elb.amazonaws.com
signup,sites.launchrock.com
ontology,ontology-elb-260043443.us-east-1.elb.amazonaws.com
dev-grails,internal-grails-dev-lb-452545239.us-east-1.elb.amazonaws.com
calendar,login.secureserver.net
imap,imap.secureserver.net
fax,login.secureserver.net
pop,pop.secureserver.net
foobar,webapp-prod-main.pub-aws.trendkite.com
esq,internal-es-quarantine-elb-988207609.us-east-1.elb.amazonaws.com
leeroy,internal-main-jenkins-1092948652.us-east-1.elb.amazonaws.com
app,webapp-prod-main.pub-aws.trendkite.com
preview,delete-me.com
kibana,internal-kibana-lb-528610593.us-east-1.elb.amazonaws.com
app-g3,webapp-prod-main.pub-aws.trendkite.com
duplicate-service,internal-duplicate-prod-main-2094344239.us-east-1.elb.amazonaws.com
mobilemail,mobilemail-v01.prod.mesa1.secureserver.net
staging-grails,delete-me.com
dev,webapp-dev-main.pub-aws.trendkite.com
ftp,trendkite.com
legacy,grails-cs-prod-514970555.us-east-1.elb.amazonaws.com
logstash,internal-logging-logstash-elb-1941184879.us-east-1.elb.amazonaws.com
email,email.secureserver.net
publishers-ext,service-publishers-elb-public-760037137.us-east-1.elb.amazonaws.com
cass,internal-elb-cass-247212275.us-east-1.elb.amazonaws.com
test,delete-me.com
e19520c54b49f4715662c70995694425,9c0ed0e1d6dd28dc2bced9f154549790c1fb0ee0.comodoca.com
web,361188.group38.sites.hubspot.net
intercom._domainkey,6f9d8e8d-c04a-47d8-adbd-db7570aad5e4.dkim.intercom.io
opens,mandrillapp.com
clicks,mandrillapp.com
connotate,ec2-54-86-29-210.compute-1.amazonaws.com
mandrill-webhook,ec2-52-5-57-118.compute-1.amazonaws.com
cass-dev,internal-elb-cass-dev-494691157.us-east-1.elb.amazonaws.com
smtp,smtp.secureserver.net
emclicks,sendgrid.net
files,login.secureserver.net
